abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,subsection_name,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person
"LEAD: SOME teachers are starting to organize offices and firms to market their services -just like doctors, lawyers, accountants and other professionals.",https://www.nytimes.com/1987/01/04/education/blackboard-notes-teachers-put-out-their-shingles.html,"LEAD: SOME teachers are starting to organize offices and firms to market their services -just like doctors, lawyers, accountants and other professionals.","LEAD: SOME teachers are starting to organize offices and firms to market their services -just like doctors, lawyers, accountants and other professionals.",12,16,The New York Times,1987-01-04T05:00:00+0000,article,Survey of Education Desk,Education,News,nyt://article/03504612-566a-5965-9f11-08477790dd28,369,nyt://article/03504612-566a-5965-9f11-08477790dd28,NA,"BLACKBOARD NOTES;
Teachers Put Out Their Shingles",NA,NA,"BLACKBOARD NOTES;
Teachers Put Out Their Shingles",NA,NA,NA,By Amy Stuart Wells,
"Minnesota's public university system is exploring revisions to faculty tenure code that would allow cuts for first time in professors' salaries for reasons other than financial emergency and would allow dismissal of professors if their programs were eliminated; under current code, tenured professors can be laid off only if department or college is closed; in response, some faculty members have begun organizing drive to form union that would represent 3,000 or so professors at university's four campuses (M)",https://www.nytimes.com/1996/09/22/us/minnesota-s-plan-to-weaken-tenure-leads-to-drive-to-unionize.html,Minnesota's public university system is exploring revisions to faculty tenure code that would allow cuts for first time in professors' salaries for reasons other than financial emergency and would allow dismissal of professors if their programs we...,Minnesota's public university system is exploring revisions to the faculty tenure code that would allow cuts for the first time in professors' salaries for reasons other than financial emergency and would allow the dismissal of professors if their programs were eliminated.,1,37,The New York Times,1996-09-22T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/d5730b90-cf68-5866-b937-f6ea55936c65,560,nyt://article/d5730b90-cf68-5866-b937-f6ea55936c65,NA,Minnesota's Plan to Weaken Tenure Leads to Drive to Unionize,NA,NA,Minnesota's Plan to Weaken Tenure Leads to Drive to Unionize,NA,NA,NA,By William H. Honan,
"Norm Coleman, Republican candidate for Senate in Minnesota, is challenging Sen Paul Wellstone's bid for re-election, in race considered too close to call; state has long history of sending liberal Democrats to Senate, and Wellstone is probably Senate's staunchest liberal; Coleman, former two-term mayor of St Paul, won his first term as mayor as Democrat but ran as Republican for second term; he hopes that growing number of middle-of-the-road independents, swing vote, will see him as one of them, sometimes Democrat, sometimes Republican; photos (M)",https://www.nytimes.com/2002/03/10/us/senate-race-shows-swing-toward-middle-in-minnesota.html,"Norm Coleman, Republican candidate for Senate in Minnesota, is challenging Sen Paul Wellstone's bid for re-election, in race considered too close to call; state has long history of sending liberal Democrats to Senate, and Wellstone is probably Sen...","This state has a long history of sending unalloyed liberal Democrats to the United States Senate -- Hubert H. Humphrey, Eugene J. McCarthy, Walter F. Mondale and, most recently, Paul Wellstone, probably the Senate's staunchest liberal. This state has gone Democratic in every presidential election since 1976, longer than any other.",1,36,The New York Times,2002-03-10T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/9fa3948a-464e-5e04-97ed-29d2e059a15e,911,nyt://article/9fa3948a-464e-5e04-97ed-29d2e059a15e,NA,Senate Race Shows Swing Toward Middle in Minnesota,NA,NA,Senate Race Shows Swing Toward Middle in Minnesota,NA,NA,NA,By B. Drummond Ayres Jr,
"   Two days before Walter F. Mondale became the Democratic Party's 28th Presidential nominee, the Minnesotan spoke of his childhood dreams to a group of schoolchildren here.  ''I used to dream that maybe I could be an alderman,'' he said quietly. ''I grew up a poor kid in southern Minnesota, and here I am with a good shot at the Presidency.''   Tonight his nomination at the party convention ended a fierce primary campaign in which the former Vice President staged a dramatic political comeback after unexpectedly losing early contests to Senator Gary Hart of Colorado. Mr. Mondale finally gathered enough delegates to claim the nomination, and in the process surprised even his own staff with a bluntness, a scrappiness and a physical stamina that had not been seen earlier.   ''I had to demonstrate to the American people that my case had merit,'' Mr. Mondale said several weeks ago. ''I wanted my family to know that their Dad had some beliefs and some values and was willing to fight for those beliefs and values, and that I wasn't a quitter.''",https://www.nytimes.com/1984/07/19/us/man-in-the-news-politician-in-the-minnesota-tradition.html,,"Two days before Walter F. Mondale became the Democratic Party's 28th Presidential nominee, the Minnesotan spoke of his childhood dreams to a group of schoolchildren here. ''I used to dream that maybe I could be an alderman,'' he said quietly. ''I grew up a poor kid in southern Minnesota, and here I am with a good shot at the Presidency.''",A,1,The New York Times,1984-07-19T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/e5985cc5-2e5b-5960-a37f-59ff12fa8b7a,1761,nyt://article/e5985cc5-2e5b-5960-a37f-59ff12fa8b7a,NA,POLITICIAN IN THE MINNESOTA TRADITION,MAN IN THE NEWS,NA,MAN IN THE NEWS; POLITICIAN IN THE MINNESOTA TRADITION,NA,NA,NA,"By Bernard Weinraub, Special To the New York Times",
"LEAD: A teacher held captive at gunpoint by a high-school sophomore for five hours played a key role in persuading the student to surrender peacefully, the authorities here say.",https://www.nytimes.com/1987/09/13/us/teacher-plays-key-role-in-surrender-of-student.html,,"A teacher held captive at gunpoint by a high-school sophomore for five hours played a key role in persuading the student to surrender peacefully, the authorities here say.",1,45,The New York Times,1987-09-13T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/c7cb5231-1068-54e7-9c67-756c5267eed0,297,nyt://article/c7cb5231-1068-54e7-9c67-756c5267eed0,NA,Teacher Plays Key Role in Surrender of Student,NA,NA,Teacher Plays Key Role in Surrender of Student,NA,NA,NA,AP,
Educators’ deaths are part of an unabated pandemic.,https://www.nytimes.com/2020/09/11/us/teacher-dies-covid.html,Educators’ deaths are part of an unabated pandemic.,"Demetria Bannister, known as Demi, a 28-year-old third-grade teacher and choir director in Columbia, S.C., died of Covid-19 on Monday.",NA,NA,The New York Times,2020-09-11T16:21:50+0000,article,NYTNow,U.S.,News,nyt://article/acf72d18-2c86-53cb-a5cc-413bc7e2770a,1272,nyt://article/acf72d18-2c86-53cb-a5cc-413bc7e2770a,NA,A Favorite Teacher Lost,NA,NA,NA,NA,NA,NA,By Amelia Nierenberg and Adam Pasick,
"  If not for a map-making error two centuries ago, this 150-square-mile tract of bogs and woods would not be part of the United States.   Thirty miles of the Northwest Angle are in Canada and it is the northernmost point in the contiguous 48 states. It is a remote part of Minnesota that, until 15 years ago, could only be reached by boat or ski plane.   But there are signs that civilization is finally coming to the Angle.",https://www.nytimes.com/1985/12/09/us/northern-corner-of-minnesota-drifts-closer-to-us-angle-inlet-minn-dec-8-ap.html,,"If not for a map-making error two centuries ago, this 150-square-mile tract of bogs and woods would not be part of the United States.",B,9,The New York Times,1985-12-09T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/7a871769-71da-5943-bbce-da63848d6750,972,nyt://article/7a871769-71da-5943-bbce-da63848d6750,NA,"NORTHERN CORNER OF MINNESOTA DRIFTS CLOSER TO U.S.   ANGLE INLET, Minn., Dec. 8 (AP) -",NA,NA,"NORTHERN CORNER OF MINNESOTA DRIFTS CLOSER TO U.S.   ANGLE INLET, Minn., Dec. 8 (AP) -",NA,NA,NA,NA,
"Profile of Minnesota Gov Jesse Ventura, savvy populist governor who has yet to announce whether he will seek second term; poll taken in March shows that his approval rating has dipped to 43 percent, all-time low since he won surprising victory in three-way race in 1998; photos (M)",https://www.nytimes.com/2002/04/13/us/minnesota-s-governor-is-hitting-a-rough-spot.html,"Profile of Minnesota Gov Jesse Ventura, savvy populist governor who has yet to announce whether he will seek second term; poll taken in March shows that his approval rating has dipped to 43 percent, all-time low since he won surprising victory in ...","Here in his office, he sits in a big chair behind a big redwood desk, the image of two men fitted into one: both Jesse the Body and Jesse Ventura, the governor.",A,12,The New York Times,2002-04-13T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/9f92567a-f71d-5199-bc0e-9fe96bd46096,1088,nyt://article/9f92567a-f71d-5199-bc0e-9fe96bd46096,NA,Minnesota's Governor Is Hitting a Rough Spot,NA,NA,Minnesota's Governor Is Hitting a Rough Spot,NA,NA,NA,By John W. Fountain,
"   Public school teachers here went on strike today in a dispute over pay, and classes were canceled for more than 14,000 students.",https://www.nytimes.com/1983/12/02/us/teachers-on-strike-in-duluth-14000-students-get-day-off.html,,"Public school teachers here went on strike today in a dispute over pay, and classes were canceled for more than 14,000 students.",A,8,The New York Times,1983-12-02T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/e61a7ba1-de96-5691-90a6-9678f9b551d5,124,nyt://article/e61a7ba1-de96-5691-90a6-9678f9b551d5,NA,"Teachers on Strike in Duluth; 14,000 Students Get Day Off",NA,NA,"Teachers on Strike in Duluth; 14,000 Students Get Day Off",NA,NA,NA,AP,
"The gathering was the largest show of union force since the strike began, even as negotiations continued and schools were expected to reopen on Monday.",https://www.nytimes.com/2012/09/16/education/thousands-gather-in-support-of-chicago-teachers.html,"The gathering was the largest show of union force since the strike began, even as negotiations continued and schools were expected to reopen on Monday.","CHICAGO — As union and school board lawyers toiled in private here on Saturday to finish a contract that could soon lift the first teacher strike this city has seen in 25 years, a rally — not quite victory party, not quite vitriolic protest — was roaring just miles away.",A,22,The New York Times,2012-09-15T21:22:05+0000,article,National,Education,News,nyt://article/dbf6dd30-41d5-52de-ad9b-f69fea0a5d25,773,nyt://article/dbf6dd30-41d5-52de-ad9b-f69fea0a5d25,NA,Thousands Attend Rally for Chicago Teachers as Union Nears Contract,NA,NA,Thousands Attend Rally For Chicago Teachers As Union Nears Contract,NA,NA,NA,By Steven Yaccino,
"Bob Dylan was never popular when he was growing up in Hibbing, Minn; many of Hibbing's 17,000 residents still have no use for man who, having outgrown his boyhood awkwardness of 1950's and changed his name from Zimmerman, became one of most influential songwriters of 20th century; others think Hibbing should begin to honor him, and even capitalize on his legacy; map; photos (M)",https://www.nytimes.com/2004/08/14/us/a-minnesota-town-and-its-not-so-favorite-son.html,"Bob Dylan was never popular when he was growing up in Hibbing, Minn; many of Hibbing's 17,000 residents still have no use for man who, having outgrown his boyhood awkwardness of 1950's and changed his name from Zimmerman, became one of most influe...","Nearly half a century ago, a scrawny youth whose artistic temperament and creative spirit had made him a misfit here left town to seek his fortune. Some people hope he never comes back.",A,7,The New York Times,2004-08-14T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/250960af-30bd-5ff9-b293-593500060840,1056,nyt://article/250960af-30bd-5ff9-b293-593500060840,NA,A Minnesota Town and Its Not-So-Favorite Son,NA,NA,A Minnesota Town and Its Not-So-Favorite Son,NA,NA,NA,By Stephen Kinzer,
"After his first 100 days as a Congressional representative, a lawmaker paid a visit to his old high school, where he had taught geography, coached football, advised seniors and supervised the lunchroom.",https://www.nytimes.com/2007/04/25/education/25education.html,"After his first 100 days as a Congressional representative, a lawmaker paid a visit to his old high school, where he had taught geography, coached football, advised seniors and supervised the lunchroom.","MANKATO, Minn.",B,8,The New York Times,2007-04-25T04:00:00+0000,article,Metro,Education,News,nyt://article/5bc7160d-fc6a-577e-bdc9-5ec345f9dd63,944,nyt://article/5bc7160d-fc6a-577e-bdc9-5ec345f9dd63,NA,"Congressman, Teacher, Soldier, and He’s Back in Town for a Visit",On Education,NA,"Congressman, Teacher, Soldier, And He’s Back in Town for a Visit",NA,NA,NA,By Samuel G. Freedman,
"The 1970 clip is a “miraculous” find, a former editor at the local CBS station said. It shows an interview with Prince, 11, commenting on a teachers’ strike in Minneapolis.",https://www.nytimes.com/2022/04/07/us/prince-1970-teachers-strike-wcco.html,"The 1970 clip is a “miraculous” find, a former editor at the local CBS station said. It shows an interview with Prince, 11, commenting on a teachers’ strike in Minneapolis.","Matthew Liddy, a production manager at WCCO-TV, a CBS station in Minnesota, was watching footage of a 1970 teachers’ strike in Minneapolis in late February when he saw a familiar face.",NA,NA,The New York Times,2022-04-07T09:46:20+0000,article,Express,U.S.,News,nyt://article/0f66ac0d-4d90-588f-854d-1e089f7f74a9,1012,nyt://article/0f66ac0d-4d90-588f-854d-1e089f7f74a9,NA,Film at 11: How a Minnesota Station Found Old Footage of a Very Young Prince,NA,NA,NA,NA,NA,NA,By Maria Cramer,
"  Minnesota has long been touted as a model of progressive yet efficient state government that enjoys good relations with labor. But many of the social programs that helped create that image have been cut back as a result of mounting budget deficits in the last two years, and now an 11-day-old strike by state employees is turning labor relations sour.   The strike over wages and other benefits by 14,000 members of Council 6 of the American Federation of State, County and Municipal Employees is the biggest in the state's history and illustrates the depth of the state's financial troubles.   The state has refused to budge from the $85 million improvement package it offered union members on July 2. Officials say this is because there simply is no more money to be offered in the face of continued budget deficits. The state package would actually reduce certain benefits to workers.",https://www.nytimes.com/1981/08/01/us/state-employees-strike-adds-to-minnesota-woes.html,,"Minnesota has long been touted as a model of progressive yet efficient state government that enjoys good relations with labor. But many of the social programs that helped create that image have been cut back as a result of mounting budget deficits in the last two years, and now an 11-day-old strike by state employees is turning labor relations sour.",1,13,The New York Times,1981-08-01T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/0441566c-26ed-5060-8b4a-0b1cb25cb090,980,nyt://article/0441566c-26ed-5060-8b4a-0b1cb25cb090,NA,STATE EMPLOYEES' STRIKE ADDS TO MINNESOTA WOES,NA,NA,STATE EMPLOYEES' STRIKE ADDS TO MINNESOTA WOES,NA,NA,NA,By Nathaniel Sheppard Jr,
"Experiments in teacher-led schools raise morale, but critics say they could blur educators’ focus.",https://www.nytimes.com/2010/09/07/education/07teachers.html,"Experiments in teacher-led schools raise morale, but critics say they could blur educators’ focus.","NEWARK  Shortly after landing at Malcolm X Shabazz High School as a Teach for America recruit, Dominique D. Lee grew disgusted with a system that produced ninth graders who could not name the seven continents or the governor of their state. He started wondering: What if I were in charge?",A,1,The New York Times,2010-09-07T00:38:56+0000,article,Metro,Education,News,nyt://article/8e298acb-ef74-5d1e-a352-cdb670fe39f7,1428,nyt://article/8e298acb-ef74-5d1e-a352-cdb670fe39f7,NA,"In a New Role, Teachers Move to Run Schools",NA,NA,"In a New Role, Teachers Move To Run Schools",NA,NA,NA,By Winnie Hu,
   The Duluth School Board voted 5 to 4 tonight to approve a new contract with teachers who have been on strike 18 days.,https://www.nytimes.com/1983/12/19/us/around-the-nation-teacher-pact-approved-in-duluth-ending-strike.html,,The Duluth School Board voted 5 to 4 tonight to approve a new contract with teachers who have been on strike 18 days.,A,16,The New York Times,1983-12-19T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/61be0a7f-4bbf-5e8b-bdb4-149ec13e8c64,103,nyt://article/61be0a7f-4bbf-5e8b-bdb4-149ec13e8c64,NA,"Teacher Pact Approved In Duluth, Ending Strike",AROUND THE NATION,NA,"AROUND THE NATION; Teacher Pact Approved In Duluth, Ending Strike",NA,NA,NA,AP,
"  Abraham Kaplan, an author and teacher of philosophy, died Saturday in Los Angeles. He was 75 and had lived in Haifa, Israel, since 1972.   He died of a heart attack while visiting a friend, said Allan Casebier, an associate professor at the University of Southern California.",https://www.nytimes.com/1993/06/24/us/abraham-kaplan-75-author-and-teacher.html,,"Abraham Kaplan, an author and teacher of philosophy, died Saturday in Los Angeles. He was 75 and had lived in Haifa, Israel, since 1972.",B,10,The New York Times,1993-06-24T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/090b1952-2206-506c-8ce8-d605493b9714,174,nyt://article/090b1952-2206-506c-8ce8-d605493b9714,NA,"Abraham Kaplan, 75, Author and Teacher",NA,NA,"Abraham Kaplan, 75, Author and Teacher",NA,NA,NA,NA,
"LEAD: Minnesota is a state known for its virgin lakes, pioneer spirit and politics so squeaky clean that a city council candidate was once fined for giving away Hostess Twinkees to his constituents.",https://www.nytimes.com/1990/02/12/us/minnesota-senator-s-troubles-stir-little-sympathy-at-home.html,,"Minnesota is a state known for its virgin lakes, pioneer spirit and politics so squeaky clean that a city council candidate was once fined for giving away Hostess Twinkees to his constituents.",B,10,The New York Times,1990-02-12T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/2e40b781-ea84-5405-8d39-0772491d499b,790,nyt://article/2e40b781-ea84-5405-8d39-0772491d499b,NA,Minnesota Senator's Troubles Stir Little Sympathy at Home,NA,NA,Minnesota Senator's Troubles Stir Little Sympathy at Home,NA,NA,NA,"By Isabel Wilkerson, Special To the New York Times",
"Essay by Gordon Marino laments fact that professor/coach is rarity on today's college campuses; says professors can bridge divide between athletics and academics, and describes his experiences as assistant football coach and humanities professor at St Olaf College in Northfield, Minn; photo (special section, Education Life (M)",https://www.nytimes.com/2005/01/16/education/edlife/the-philosophercoach.html,"Essay by Gordon Marino laments fact that professor/coach is rarity on today's college campuses; says professors can bridge divide between athletics and academics, and describes his experiences as assistant football coach and humanities professor a...","YEARS ago, it was not unusual for an English professor to coach the high hurdlers on the track team. Today, the professor/coach is a rara avis. Coaching has become a highly specialized field that requires a year-round commitment to recruiting and training and leaves little room for amateur enthusiasts.",A,4,The New York Times,2005-01-16T05:00:00+0000,article,Education Life Supplement,U.S.,News,nyt://article/3df5fada-3a5f-51a0-aa3a-43c531974074,810,nyt://article/3df5fada-3a5f-51a0-aa3a-43c531974074,NA,The Philosopher/Coach,TEACHER'S NOTEBOOK,NA,TEACHER'S NOTEBOOK; The Philosopher/Coach,NA,NA,NA,By Gordon Marino,
