abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person
Investigators identified the officer who shot Mr. Castile as Jeronimo Yanez amid demonstrations near the Minnesota governor’s mansion.,https://www.nytimes.com/2016/07/09/us/philando-castile-jeronimo-yanez.html,Investigators identified the officer who shot Mr. Castile as Jeronimo Yanez amid demonstrations near the Minnesota governor’s mansion.,ST. PAUL — Demonstrators angered by the fatal police shooting of a black man during a suburban traffic stop kept vigil outside the governor’s mansion here Friday as officials urged calm and more details emerged about the officer who fired the shots.,A,14,The New York Times,2016-07-08T10:24:57+0000,article,National,U.S.,NA,News,nyt://article/57633b4a-4a74-57e7-acdf-374af6c21b46,721,nyt://article/57633b4a-4a74-57e7-acdf-374af6c21b46,Peaceful Protests Follow Minnesota Governor’s Call for Calm,NA,NA,Peaceful Protests in Minnesota Follow Call for Calm,NA,NA,NA,"By Mitch Smith, Christina Capecchi and Matt Furber",
>,https://www.nytimes.com/2005/03/28/national/juvenile-arrested-in-connection-to-minnesota-school-shooting.html,,>,NA,NA,The New York Times,2005-03-28T05:00:00+0000,article,None,U.S.,NA,News,nyt://article/abb85ebc-66c6-5ef2-991e-7542af592378,130,nyt://article/abb85ebc-66c6-5ef2-991e-7542af592378,Juvenile Arrested in Connection to Minnesota School Shooting,NA,NA,Juvenile Arrested in Connection to Minnesota School Shooting,NA,NA,NA,NA,
"Minnesota Gov Jesse Ventura, saying that 'patriotism is voluntary,' vetoes bill requiring schools to have students recite Pledge of Allegiance at least once a week (S)",https://www.nytimes.com/2002/05/23/us/national-briefing-midwest-minnesota-ventura-vetos-mandatory-pledge.html,"Minnesota Gov Jesse Ventura, saying that 'patriotism is voluntary,' vetoes bill requiring schools to have students recite Pledge of Allegiance at least once a week (S)","Saying that ''patriotism is voluntary,'' Gov. Jesse Ventura vetoed a bill requiring schools to have students recite the Pledge of Allegiance at least once a week. ''A patriot shows their patriotism through their actions, by their choice,'' Governor Ventura, an independent, wrote in a letter explaining his decision. The governor also vetoed money for a new Guthrie Theater in Minneapolis. The Guthrie is a major regional theaters.",A,24,The New York Times,2002-05-23T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/bf6aa973-376a-5ef0-ba1d-a10e8d7b0bed,69,nyt://article/bf6aa973-376a-5ef0-ba1d-a10e8d7b0bed,National Briefing | Midwest: Minnesota: Ventura Vetos Mandatory Pledge,NA,NA,National Briefing | Midwest: Minnesota: Ventura Vetos Mandatory Pledge,NA,NA,NA,By Jodi Wilgoren (NYT),
"Al Franken’s lead in the Minnesota Senate race grew after absentee ballots were counted in court, but Norm Coleman, the incumbent Republican, plans to file an appeal.",https://thecaucus.blogs.nytimes.com/2009/04/07/the-minnesota-senate-saga/,"Al Franken’s lead in the Minnesota Senate race grew after absentee ballots were counted in court, but Norm Coleman, the incumbent Republican, plans to file an appeal.","Update | 4:47 p.m.  Al Franken’s lead in the Minnesota Senate race grew Tuesday after absentee ballots were counted in court, but the election still is not over because his opponent, Norm Coleman, the incumbent Republican, plans to file an appeal.",NA,NA,The New York Times,2009-04-07T17:04:22+0000,article,National,U.S.,Politics,News,nyt://article/b4bbc802-5ccd-5b73-a8cc-7f0d32a1282d,978,nyt://article/b4bbc802-5ccd-5b73-a8cc-7f0d32a1282d,The Latest in the Minnesota Senate Race,NA,NA,NA,NA,NA,NA,By Katharine Q. Seelye,
The president’s push to focus attention on the domestic economy comes as his administration has been dealing with events overseas after the terrorist attacks in Israel.,https://www.nytimes.com/2023/11/01/us/politics/biden-minnesota-rural-investments.html,The president’s push to focus attention on the domestic economy comes as his administration has been dealing with events overseas after the terrorist attacks in Israel.,"President Biden on Wednesday began a tour of rural communities at a Minnesota hog farm where he lamented the loss of family farms, attacked the corporate consolidation of agriculture and pledged to oversee a renaissance of the American heartland.",A,21,The New York Times,2023-11-01T09:03:53+0000,article,Washington,U.S.,Politics,News,nyt://article/b1b39539-82ee-5f2b-8837-8652c6e1c94d,879,nyt://article/b1b39539-82ee-5f2b-8837-8652c6e1c94d,Biden Travels to Minnesota to Highlight Rural Investments,NA,NA,"In Minnesota, Biden Outlines Rural Investment",NA,NA,NA,By Lisa Friedman,
LEAD: Islam arrived in the United States along with immigrants from the Ottoman Empire at the turn of the century. But the Muslim population began to increase significantly only with the arrival of large numbers of students from the Muslim countries in the 1960's.,https://www.nytimes.com/1990/09/03/us/from-mecca-to-minnesota.html,,Today one is likely to find a Muslim from Minneapolis as well as from Mecca. The demographer Ben Wattenberg writes that the United States can now be truly called a melting pot because for the first time it includes a significant number of Muslims.,1,8,The New York Times,1990-09-03T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/8b4d2b64-457b-5dc2-b76e-218cda7ab121,235,nyt://article/8b4d2b64-457b-5dc2-b76e-218cda7ab121,From Mecca to Minnesota,NA,NA,From Mecca to Minnesota,NA,NA,NA,NA,
"Two years after Minnesota officials forbade drug makers to give doctors more than $50 worth of food or other gifts per year, drug company sales representatives there are having a far harder time marketing to doctors.",https://www.nytimes.com/2007/10/12/us/12gift.html,"Two years after Minnesota officials forbade drug makers to give doctors more than $50 worth of food or other gifts per year, drug company sales representatives there are having a far harder time marketing to doctors.","There are bagels and fruit in the morning, sandwiches at lunch, fresh cookies in the afternoon and an occasional restaurant dinner, but many of the doctors who routinely accept these goodies from pharmaceutical sales representatives say they see sales people for the educational messages they bring, not the food.",A,25,The New York Times,2007-10-12T04:00:00+0000,article,National,U.S.,NA,News,nyt://article/d11c6aef-967e-5206-970c-38841c2ccabf,1221,nyt://article/d11c6aef-967e-5206-970c-38841c2ccabf,Minnesota Limit on Gifts to Doctors May Catch On,NA,NA,Minnesota Limit on Gifts To Doctors May Catch On,NA,NA,NA,By Gardiner Harris,
"   Two days before Walter F. Mondale became the Democratic Party's 28th Presidential nominee, the Minnesotan spoke of his childhood dreams to a group of schoolchildren here.  ''I used to dream that maybe I could be an alderman,'' he said quietly. ''I grew up a poor kid in southern Minnesota, and here I am with a good shot at the Presidency.''   Tonight his nomination at the party convention ended a fierce primary campaign in which the former Vice President staged a dramatic political comeback after unexpectedly losing early contests to Senator Gary Hart of Colorado. Mr. Mondale finally gathered enough delegates to claim the nomination, and in the process surprised even his own staff with a bluntness, a scrappiness and a physical stamina that had not been seen earlier.   ''I had to demonstrate to the American people that my case had merit,'' Mr. Mondale said several weeks ago. ''I wanted my family to know that their Dad had some beliefs and some values and was willing to fight for those beliefs and values, and that I wasn't a quitter.''",https://www.nytimes.com/1984/07/19/us/man-in-the-news-politician-in-the-minnesota-tradition.html,,"Two days before Walter F. Mondale became the Democratic Party's 28th Presidential nominee, the Minnesotan spoke of his childhood dreams to a group of schoolchildren here. ''I used to dream that maybe I could be an alderman,'' he said quietly. ''I grew up a poor kid in southern Minnesota, and here I am with a good shot at the Presidency.''",A,1,The New York Times,1984-07-19T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/e5985cc5-2e5b-5960-a37f-59ff12fa8b7a,1761,nyt://article/e5985cc5-2e5b-5960-a37f-59ff12fa8b7a,POLITICIAN IN THE MINNESOTA TRADITION,MAN IN THE NEWS,NA,MAN IN THE NEWS; POLITICIAN IN THE MINNESOTA TRADITION,NA,NA,NA,"By Bernard Weinraub, Special To the New York Times",
"An F.B.I. agent identified a college student as ""a person of interest that we would like to question"" in connection with the pipe bombs found in mailboxes.",https://www.nytimes.com/2002/05/07/national/fbi-seeking-minnesota-man-in-connection-with-pipe-bombs.html,"An F.B.I. agent identified a college student as ""a person of interest that we would like to question"" in connection with the pipe bombs found in mailboxes."," WASHINGTON, May 7 — Federal officials said today they are looking for a 21-year-old college student from Minnesota in connection with the pipe bombs found in rural mailboxes over a vast stretch of the country since Friday. ",NA,NA,The New York Times,2002-05-07T05:00:00+0000,article,National,U.S.,NA,News,nyt://article/ca438cd8-ffe4-5f70-91b5-385643cd4f27,480,nyt://article/ca438cd8-ffe4-5f70-91b5-385643cd4f27,F.B.I. Seeking Minnesota Man in Connection With Pipe Bombs,NA,NA,F.B.I. Seeking Minnesota Man in Connection With Pipe Bombs,NA,NA,NA,By David Stout,
"  Cathy Nelson has been a teacher for 15 years, the last 13 of them teaching social studies at Fridley High School, in Fridley, Minn., near Minneapolis. She has found innovative ways to interest students in history, and has found time to earn a doctoral degree from the University of Minnesota.    Along with the admiration of her students, Ms. Nelson has won a number of awards. Last October she was named Minnesota's Teacher of the Year.   The only trouble was, she had just been laid off.",https://www.nytimes.com/1991/01/27/us/minnesota-s-teacher-of-the-year-is-laid-off-in-budget-crisis.html,,"Cathy Nelson has been a teacher for 15 years, the last 13 of them teaching social studies at Fridley High School, in Fridley, Minn., near Minneapolis. She has found innovative ways to interest students in history, and has found time to earn a doctoral degree from the University of Minnesota.",1,20,The New York Times,1991-01-27T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/92bd622e-3ef4-54f9-a7ba-b0e209a4340e,689,nyt://article/92bd622e-3ef4-54f9-a7ba-b0e209a4340e,Minnesota's Teacher of the Year Is Laid Off in Budget Crisis,NA,NA,Minnesota's Teacher of the Year Is Laid Off in Budget Crisis,NA,NA,NA,By William Celis 3d,
"A popular, two-term governor who was also an Olympic silver medalist, Mr. Anderson oversaw reforms in education financing and local property taxes.",https://www.nytimes.com/2016/07/19/us/wendell-anderson-former-governor-behind-the-minnesota-miracle-dies-at-83.html,"A popular, two-term governor who was also an Olympic silver medalist, Mr. Anderson oversaw reforms in education financing and local property taxes.","Wendell Anderson, a Democratic wunderkind who as governor wrought legislation hailed as “the Minnesota Miracle” to finance education, only to be rejected by the voters after engineering his own appointment to a Senate vacancy, died on Sunday in St. Paul. He was 83.",B,12,The New York Times,2016-07-19T02:56:08+0000,article,National,U.S.,NA,Obituary (Obit),nyt://article/4b8b27f6-53e0-5311-a402-af28b9f51c39,899,nyt://article/4b8b27f6-53e0-5311-a402-af28b9f51c39,"Wendell Anderson, Governor Behind the ‘Minnesota Miracle,’ Dies at 83",NA,NA,"Wendell Anderson, Minnesota Leader Whose Ambition Cost Him, Dies at 83",NA,NA,NA,By Sam Roberts,
"  What was once the principal's office has a conference table in it now. The name plate on the door is covered with a slash of masking tape with the word ""SHARE"" scrawled across it.    In this remote northern Minnesota town, where the business district is half a dozen stores and the roads turn to dirt a block off the main street, the local school is conducting an unusual experiment.",https://www.nytimes.com/1990/11/21/education/a-school-in-minnesota-doesn-t-have-a-principal.html,,"What was once the principal's office has a conference table in it now. The name plate on the door is covered with a slash of masking tape with the word ""SHARE"" scrawled across it.",B,11,The New York Times,1990-11-21T05:00:00+0000,article,None,Education,NA,News,nyt://article/f912b677-3e08-5db8-852a-3bf5168404fd,1668,nyt://article/f912b677-3e08-5db8-852a-3bf5168404fd,A School in Minnesota Doesn't Have a Principal,NA,NA,A School in Minnesota Doesn't Have a Principal,NA,NA,NA,"By Suzanne Daley, Special To the New York Times",
"  Rudy Perpich reclaimed the Minnesota governorship today, spurning a traditional inauguration at the state Capitol in favor of a speech to students at Hibbing High School, his alma mater.   Mr. Perpich, a Democrat-Farmer-Laborite, became the first Minnesota Governor to serve in nonconsecutive terms. The man who defeated him in 1978, Albert H. Quie, a Republican, did not seek a second term last fall.",https://www.nytimes.com/1983/01/04/us/perpich-spurns-minnesota-inauguration-tradition.html,,"Rudy Perpich reclaimed the Minnesota governorship today, spurning a traditional inauguration at the state Capitol in favor of a speech to students at Hibbing High School, his alma mater.",A,8,The New York Times,1983-01-04T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/907c5c81-2288-5228-a2de-95d2df4e5364,531,nyt://article/907c5c81-2288-5228-a2de-95d2df4e5364,PERPICH SPURNS MINNESOTA INAUGURATION TRADITION,NA,NA,PERPICH SPURNS MINNESOTA INAUGURATION TRADITION,NA,NA,NA,Special to the New York Times,
"As economic turmoil has drowned out almost every other issue in Minnesota, the race between Norm Coleman and Al Franken has tightened.",https://www.nytimes.com/2008/10/26/us/politics/26minnesota.html,"As economic turmoil has drowned out almost every other issue in Minnesota, the race between Norm Coleman and Al Franken has tightened.","RED WING, Minn.  Senator Norm Coleman kicked off the final stretch of his re-election campaign on Main Street in this old railroad town about two weeks ago with a new theme: The Hope Express.",A,31,The New York Times,2008-10-25T22:42:59+0000,article,National,U.S.,Politics,News,nyt://article/7959bd2c-7dec-5dc4-898f-59434cc98505,1316,nyt://article/7959bd2c-7dec-5dc4-898f-59434cc98505,Economic Crisis Shapes the Senate Contest in Minnesota,NA,NA,Hard Questions About the Economic Crisis Shape the Senate Contest in Minnesota,NA,NA,NA,By Susan Saulny,
"  A Federal appeals court panel has ruled that the University of Minnesota acted illegally by altering procedures for granting funds to a student newspaper after the paper published a parody issue.   The three-judge panel of the United States Court of Appeals for the Eighth Circuit, reversing a lower court ruling handed down last December, held that state universities cannot use their power over school activity funds to try to influence student publications.   The university president, C. Peter Magrath, and the Board of Regents have not announced whether they will appeal the ruling, made last week.",https://www.nytimes.com/1983/10/25/us/campus-paper-in-minnesota-wins-ruling-on-fund-cutoff.html,,A Federal appeals court panel has ruled that the University of Minnesota acted illegally by altering procedures for granting funds to a student newspaper after the paper published a parody issue.,A,24,The New York Times,1983-10-25T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/8842f83c-fb21-518c-8db2-a9d704512711,370,nyt://article/8842f83c-fb21-518c-8db2-a9d704512711,CAMPUS PAPER IN MINNESOTA WINS RULING ON FUND CUTOFF,NA,NA,CAMPUS PAPER IN MINNESOTA WINS RULING ON FUND CUTOFF,NA,NA,NA,NA,
"Security footage showed Dahir Adan advancing toward an off-duty police officer in a premeditated attack, probably prompted by his radicalization.",https://www.nytimes.com/2016/10/07/us/minnesota-mall-attackers-killing-by-police-was-justified-prosecutors-say.html,"Security footage showed Dahir Adan advancing toward an off-duty police officer in a premeditated attack, probably prompted by his radicalization.","Dahir Adan, the man accused of stabbing 10 people at a Minnesota mall last month, slashed an electronics store employee and later advanced toward an off-duty police officer even after sustaining gunshot wounds, security footage released on Thursday showed.",A,13,The New York Times,2016-10-06T20:49:19+0000,article,National,U.S.,NA,News,nyt://article/c44cab53-3e47-5070-a757-2bb2b4d57af9,654,nyt://article/c44cab53-3e47-5070-a757-2bb2b4d57af9,"Minnesota Mall Attacker’s Killing by Police Was Justified, Prosecutors Say",NA,NA,Officer Is Cleared in the Death of a Mall Attacker in Minnesota,NA,NA,NA,By Mitch Smith,
Former Vice Pres Walter Mondale expects Sen John Kerry to carry Minnesota in November election; says Minnesotans fear Pres Bush's rashness and resent cuts in federal education spending; polls are indecisive; photo (M),https://www.nytimes.com/2004/09/19/politics/campaign/minnesota-returns-to-a-star-role-on-national-stage.html,Former Vice Pres Walter Mondale expects Sen John Kerry to carry Minnesota in November election; says Minnesotans fear Pres Bush's rashness and resent cuts in federal education spending; polls are indecisive; photo (M),"DEER RIVER, Minn. - For most of the four decades and more that I have been watching national politics, Minnesota has played a leading role.",1,24,The New York Times,2004-09-19T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/a650b318-fde5-5437-a474-706216e8cb86,1076,nyt://article/a650b318-fde5-5437-a474-706216e8cb86,Minnesota Returns to a Star Role on National Stage,THE 2004 CAMPAIGN: APPLE'S ALMANAC,NA,THE 2004 CAMPAIGN: APPLE'S ALMANAC; Minnesota Returns to a Star Role on National Stage,NA,NA,NA,By R.w. Apple Jr,
"Abuse allegations against Keith Ellison have shifted the attorney general’s race in favor of Doug Wardlow, a little known Republican lawyer.",https://www.nytimes.com/2018/10/25/us/politics/minnesota-wardlow-keith-ellison.html,"Abuse allegations against Keith Ellison have shifted the attorney general’s race in favor of Doug Wardlow, a little known Republican lawyer.",ST. PAUL — Doug Wardlow was a little-known former state representative 18 months ago when he announced what appeared to be a long-shot candidacy to be Minnesota’s next attorney general.,A,15,The New York Times,2018-10-25T16:26:04+0000,article,Politics,U.S.,Politics,News,nyt://article/baf8d97d-bf4b-5900-b897-c02ce33d7742,1278,nyt://article/baf8d97d-bf4b-5900-b897-c02ce33d7742,Ellison’s Troubles in Minnesota Create Unexpected Opening for His Opponent,NA,NA,"In Minnesota’s Attorney General Race, G.O.P.’s Long Odds Cut by Scandal",NA,NA,NA,By Elizabeth Dias,
