"","GNIS","Name","CTU_Type","County","FIPS_Code","Sym_Class","Population","Notes","geometry"
"532",2395377,"Montevideo","City","Chippewa County","2702343720","County Seat",5240,NA,c(285145.0938, 4980171)
"533",2395381,"Montgomery","City","Le Sueur County","2707943738","Small City",2934,NA,c(453754.8125, 4920785.5)
"534",2395385,"Monticello","City","Wright County","2717143774","Small City",13065,NA,c(437762.8125, 5017201.5)
"535",2395389,"Montrose","City","Wright County","2717143810","Small City",2999,NA,c(428293.875, 4990574.5)
"536",2395392,"Moorhead","City","Clay County","2702743864","Big City",40935,NA,c(213734.1867, 5196806.5381)
"537",2395395,"Moose Lake","City","Carlton County","2701743954","Small City",2763,NA,c(518302.875, 5144538.5)
"538",2395396,"Mora","City","Kanabec County","2706544044","County Seat",3507,NA,c(477214.75, 5080416.5)
"539",2395400,"Morgan","City","Redwood County","2712744116","Small City",916,NA,c(346726.8125, 4919986)
"540",2395408,"Morris","City","Stevens County","2714944242","County Seat",5349,NA,c(272718.0938, 5052193)
"541",2395412,"Morristown","City","Rice County","2713144296","Small City",950,NA,c(464503.6875, 4897206)
"542",2395414,"Morton","City","Renville County","2712944368","Small City",341,NA,c(342401.0313, 4935032.5)
"543",2395418,"Motley","City","Morrison County","2709744422","Small City",688,NA,c(373335.5, 5132771)
"544",2395111,"Mound","City","Hennepin County","2705344476","Small City",9249,NA,c(447464.625, 4976131)
"545",2395118,"Mounds View","City","Ramsey County","2712344530","Small City",12584,NA,c(483610.4375, 4994636)
"546",2395133,"Mountain Iron","City","Saint Louis County","2713744548","Small City",2873,NA,c(528350.75, 5264410.5)
"547",2395134,"Mountain Lake","City","Cottonwood County","2703344566","Small City",2076,NA,c(345149.0313, 4866895)
"548",2395140,"Murdock","City","Swift County","2715144818","Small City",312,NA,c(312126.5938, 5010608)
"549",2395145,"Myrtle","City","Freeborn County","2704744890","Small City",54,NA,c(486809.75, 4823511)
"550",2395152,"Nashua","City","Wilkin County","2716744944","Small City",29,NA,c(244049.0313, 5103535)
"551",2395156,"Nashwauk","City","Itasca County","2706144980","Small City",869,NA,c(487314.0938, 5247438.5)
"552",2395158,"Nassau","City","Lac qui Parle County","2707345016","Small City",49,NA,c(229232.9531, 4996082.5)
"553",2395165,"Nelson","City","Douglas County","2704145106","Small City",159,NA,c(324354.3125, 5084256)
"554",2395175,"Nerstrand","City","Rice County","2713145196","Small City",269,NA,c(494597.0938, 4909854.5)
"555",2395180,"Nevis","City","Hubbard County","2705745340","Small City",415,NA,c(360087.0938, 5202947.5)
"556",2395184,"New Auburn","City","Sibley County","2714345376","Small City",500,NA,c(402552.6875, 4947429)
"557",2395187,"New Brighton","City","Ramsey County","2712345430","Small City",22080,NA,c(484123.4688, 4990253)
"558",2395195,"New Germany","City","Carver County","2701945556","Small City",392,NA,c(423373.1563, 4970541)
"559",2395201,"New Hope","City","Hennepin County","2705345628","Small City",20775,NA,c(469566.7188, 4987251)
"560",2395203,"New London","City","Kandiyohi County","2706745682","Small City",1317,NA,c(347596.5938, 5018239)
"561",2395210,"New Munich","City","Stearns County","2714545772","Small City",363,NA,c(363334.6563, 5054465.5)
"562",2395211,"New Prague","City","Scott County","2713945808","Small City",7500,NA,c(454256.7188, 4932383.5)
"563",2395213,"New Richland","City","Waseca County","2716145862","Small City",1174,NA,c(460338.1615, 4860167.708)
"564",2395216,"New Trier","City","Dakota County","2703746024","Small City",142,NA,c(505246.4688, 4938673.5)
"565",2395217,"New Ulm","City","Brown County","2701546042","County Seat",13287,NA,c(383539.2813, 4907619.5)
"566",2395221,"New York Mills","City","Otter Tail County","2711146060","Small City",1383,NA,c(317761.1563, 5154352.5)
"567",2395224,"Newfolden","City","Marshall County","2708945520","Small City",368,NA,c(253348.1253, 5361206.7046)
"568",2395227,"Newport","City","Washington County","2716345790","Small City",3470,NA,c(499977.875, 4968108)
"569",2395233,"Nicollet","City","Nicollet County","2710346150","Small City",1136,NA,c(405258.0313, 4903226)
"570",2395234,"Nielsville","City","Polk County","2711946258","Small City",106,NA,c(212868.9531, 5270841.5)
"571",2395236,"Nimrod","City","Wadena County","2715946294","Small City",89,NA,c(356070.375, 5166754)
"572",2395238,"Nisswa","City","Crow Wing County","2703546348","Small City",2068,NA,c(401181.7188, 5152694)
"573",2395247,"Norcross","City","Grant County","2705146492","Small City",46,NA,c(251852.7813, 5084483.5)
"574",2395250,"North Branch","City","Chisago County","2702546798","Small City",10104,NA,c(501562.2188, 5039762)
"575",2395257,"North Mankato","City","Nicollet County","2710347068","Small City",13438,NA,c(417372.7188, 4891644)
"576",2395259,"North Oaks","City","Ramsey County","2712347104","Small City",4715,NA,c(493793.375, 4994371)
"577",2395261,"North Saint Paul","City","Ramsey County","2712347221","Small City",11966,NA,c(500656.375, 4984339)
"578",2395265,"Northfield","City","Rice County","2713146924","Small City",20309,NA,c(487160.7188, 4922793.5)
"579",2395268,"Northome","City","Koochiching County","2707147122","Small City",229,NA,c(404262.5625, 5302922.5)
"580",2395269,"Northrop","City","Martin County","2709147212","Small City",276,NA,c(384352.0313, 4843597)
"581",2395278,"Norwood Young America","City","Carver County","2701947520","Small City",3630,NA,c(427094.9375, 4958214.5)
"582",2437910,"Nowthen","City","Anoka County","2700347536","Small City",4522,NA,c(463168.8125, 5019502)
"583",2395282,"Oak Grove","City","Anoka County","2700347690","Small City",8215,NA,c(474406.5, 5020865.5)
"584",2395285,"Oak Park Heights","City","Washington County","2716347914","Small City",4737,NA,c(516323.1875, 4986458.5)
"585",2395287,"Oakdale","City","Washington County","2716347680","Small City",27850,NA,c(502782.375, 4978847.5)
"586",2395298,"Odessa","City","Big Stone County","2701148058","Small City",157,NA,c(238843.7031, 5017194)
"587",2395300,"Odin","City","Watonwan County","2716548094","Small City",109,NA,c(359982.5938, 4858509)
"588",2395308,"Ogema","City","Becker County","2700548130","Small City",182,NA,c(278080.2188, 5220737)
"589",2395309,"Ogilvie","City","Kanabec County","2706548166","Small City",427,NA,c(466905.75, 5075494.5)
"590",2395311,"Okabena","City","Jackson County","2706348184","Small City",170,NA,c(313539.1875, 4845539.5)
"591",2395313,"Oklee","City","Red Lake County","2712548202","Small City",463,NA,c(286439.5, 5302369.5)
"592",2396057,"Olivia","City","Renville County","2712948256","County Seat",2327,NA,c(342592.7188, 4960036)
"593",2396066,"Onamia","City","Mille Lacs County","2709548310","Small City",905,NA,c(448379.7188, 5102104)
"594",2396080,"Ormsby","City","Watonwan County","2716548562","Small City",118,NA,c(363557.4063, 4856428)
"595",2396081,"Orono","City","Hennepin County","2705348580","Small City",7795,NA,c(452358.4688, 4979949.5)
"596",2396082,"Oronoco","City","Olmsted County","2710948598","Small City",1522,NA,c(537199.1875, 4890428)
"597",2396084,"Orr","City","Saint Louis County","2713748634","Small City",256,NA,c(512606.25, 5322272.5)
"598",2396087,"Ortonville","City","Big Stone County","2701148706","County Seat",2020,NA,c(229969.7969, 5022575)
"599",2396090,"Osakis","City","Todd County","2715348796","Small City",1669,NA,c(332972.4688, 5081515.5)
"600",2396096,"Oslo","City","Marshall County","2708948976","Small City",227,NA,c(192990.4063, 5346263.5)
"601",2396098,"Osseo","City","Hennepin County","2705349012","Small City",2555,NA,c(468364.8438, 4996297.5)
"602",2396101,"Ostrander","City","Fillmore County","2704549030","Small City",207,NA,c(546173.9375, 4829118)
"603",2396105,"Otsego","City","Wright County","2717149138","Small City",14634,NA,c(453634.2188, 5013578)
"604",2396107,"Ottertail","City","Otter Tail County","2711149210","Small City",436,NA,c(303536.75, 5144509)
"605",2396114,"Owatonna","City","Steele County","2714749300","County Seat",25552,NA,c(481917.3633, 4881243.219)
"606",2396128,"Palisade","City","Aitkin County","2700149498","Small City",168,NA,c(462676.3438, 5173424)
"607",2396147,"Park Rapids","City","Hubbard County","2705749768","County Seat",3907,NA,c(343289.5313, 5198577.5)
"608",2396151,"Parkers Prairie","City","Otter Tail County","2711149732","Small City",1035,NA,c(320190.0938, 5113689.5)
"609",2396168,"Paynesville","City","Stearns County","2714549966","Small City",2423,NA,c(365990.4688, 5026652)
"610",2396170,"Pease","City","Mille Lacs County","2709550056","Small City",276,NA,c(449568.7813, 5060705)
"611",2396173,"Pelican Rapids","City","Otter Tail County","2711150164","Small City",2510,NA,c(263765.9375, 5162091.5)
"612",2396175,"Pemberton","City","Blue Earth County","2701350200","Small City",297,NA,c(437181.4798, 4873113.3225)
"613",2396177,"Pennock","City","Kandiyohi County","2706750344","Small City",631,NA,c(328934.1875, 5001794)
"614",2396180,"Pequot Lakes","City","Crow Wing County","2703550416","Small City",2445,NA,c(399735.3438, 5161887.5)
"615",2396181,"Perham","City","Otter Tail County","2711150470","Small City",3106,NA,c(302974.3125, 5163311.5)
"616",2396182,"Perley","City","Norman County","2710750506","Small City",92,NA,c(211699.5625, 5231947)
"617",2396194,"Peterson","City","Fillmore County","2704550596","Small City",192,NA,c(593760.125, 4848808)
"618",2396202,"Pierz","City","Morrison County","2709750776","Small City",1429,NA,c(414452.5938, 5092604)
"619",2396203,"Pillager","City","Cass County","2702150902","Small City",450,NA,c(386554.2188, 5131769.5)
"620",665301,"Pine City","City","Pine County","2711551064","County Seat",3093,NA,c(502459.9375, 5074728)
"621",2396208,"Pine Island","City","Goodhue County","2704951136","Small City",3375,NA,c(528276.6875, 4894302)
"622",2396210,"Pine River","City","Cass County","2702151280","Small City",713,NA,c(392708.9375, 5174791)
"623",2396211,"Pine Springs","City","Washington County","2716351316","Small City",407,NA,c(503609.8438, 4986931.5)
"624",2396214,"Pipestone","City","Pipestone County","2711751388","County Seat",4186,NA,c(234041.9688, 4877286.5)
"625",2396220,"Plainview","City","Wabasha County","2715751424","Small City",3269,NA,c(566248.75, 4890533)
"626",2396225,"Plato","City","McLeod County","2708551460","Small City",313,NA,c(417733.25, 4958420)
"627",2396240,"Plummer","City","Red Lake County","2712551712","Small City",436,NA,c(272748.4688, 5310929.5)
"628",2396242,"Plymouth","City","Hennepin County","2705351730","Small City",73896,NA,c(464123.5625, 4984224.5)
"629",2396257,"Porter","City","Yellow Medicine County","2717352144","Small City",183,NA,c(248952.9219, 4947434)
"630",2396272,"Preston","City","Fillmore County","2704552450","County Seat",1423,NA,c(573920.875, 4835661)
"631",2396279,"Princeton","City","Mille Lacs County","2709552522","Small City",4728,NA,c(454634.1875, 5046437.5)
"632",2396283,"Prinsburg","City","Kandiyohi County","2706752558","Small City",496,NA,c(327415.3125, 4977933.5)
"633",2396284,"Prior Lake","City","Scott County","2713952594","Small City",24402,NA,c(466534.9063, 4951192.5)
"634",2396285,"Proctor","City","Saint Louis County","2713752630","Small City",3060,NA,c(559175.625, 5177365.5)
"635",2396296,"Quamba","City","Kanabec County","2706552756","Small City",131,NA,c(486579.1875, 5084680.5)
"636",2396304,"Racine","City","Mower County","2709952882","Small City",440,NA,c(541623.3125, 4847136.5)
"637",2396311,"Ramsey","City","Anoka County","2700353026","Small City",24846,NA,c(464533.0313, 5010390)
"638",2396313,"Randall","City","Morrison County","2709753080","Small City",662,NA,c(383785.375, 5105269)
"639",2396316,"Randolph","City","Dakota County","2703753098","Small City",432,NA,c(498442.7743, 4930294.1013)
"640",2396320,"Ranier","City","Koochiching County","2707153134","Small City",521,NA,c(474304.875, 5384501.5)
"641",2396325,"Raymond","City","Kandiyohi County","2706753296","Small City",695,NA,c(323633.9063, 4987146)
"642",2396336,"Red Lake Falls","City","Red Lake County","2712553476","County Seat",1229,NA,c(255240.4375, 5308399.5)
"643",2396338,"Red Wing","City","Goodhue County","2704953620","County Seat",16484,NA,c(537037.3125, 4934457.5)
"644",2396342,"Redwood Falls","City","Redwood County","2712753656","County Seat",5128,NA,c(331842.3125, 4933969)
"645",2396344,"Regal","City","Kandiyohi County","2706753710","Small City",46,NA,c(355597.9063, 5029845)
"646",2396347,"Remer","City","Cass County","2702153782","Small City",391,NA,c(430446.625, 5211806.5)
"647",2396350,"Renville","City","Renville County","2712953890","Small City",1487,NA,c(325070.25, 4961909)
"648",2396355,"Revere","City","Redwood County","2712753908","Small City",100,NA,c(311167.4688, 4899458.5)
"649",2396359,"Rice","City","Benton County","2700953998","Small City",1491,NA,c(405111.5, 5067210.5)
"650",2396362,"Richfield","City","Hennepin County","2705354214","Small City",36059,NA,c(477667.4375, 4970029)
"651",2396367,"Richmond","City","Stearns County","2714554268","Small City",1498,NA,c(381302.8438, 5034525.5)
"652",2396371,"Richville","City","Otter Tail County","2711154340","Small City",75,NA,c(298585.5625, 5153693)
"653",2396386,"Riverton","City","Crow Wing County","2703554736","Small City",116,NA,c(419244.4375, 5145696)
"654",2396388,"Robbinsdale","City","Hennepin County","2705354808","Small City",14289,NA,c(473349.375, 4986585.5)
"655",2396395,"Rochester","City","Olmsted County","2710954880","Big City",110275,NA,c(542499.25, 4874416.5)
"656",2396396,"Rock Creek","City","Pine County","2711554934","Small City",1653,NA,c(502938.1563, 5067105.5)
"657",2396406,"Rockford","City","Wright County","2717155006","Small City",4218,NA,c(442225.1563, 4993025)
"658",2396409,"Rockville","City","Stearns County","2714555078","Small City",2481,NA,c(395214.4688, 5036253)
"659",2396415,"Rogers","City","Hennepin County","2705355186","Small City",12002,NA,c(456575.875, 5004082.5)
"660",2396421,"Rollingstone","City","Winona County","2716955276","Small City",615,NA,c(594716.6875, 4883414)
"661",2396425,"Roosevelt","City","Roseau County","2713555438","Small City",131,NA,c(346046.75, 5407744.5)
"662",2396426,"Roscoe","City","Stearns County","2714555510","Small City",132,NA,c(371766.2188, 5032459)
"663",2396427,"Rose Creek","City","Mower County","2709955600","Small City",382,NA,c(513585.2188, 4827862)
"664",2396430,"Roseau","City","Roseau County","2713555546","County Seat",2647,NA,c(297359.2057, 5413994.2872)
"665",2396433,"Rosemount","City","Dakota County","2703755726","Small City",22741,NA,c(490059.1875, 4954014)
"666",2396435,"Roseville","City","Ramsey County","2712355852","Small City",34948,NA,c(487675.375, 4983641)
"667",2396439,"Rothsay","City","Wilkin County","2716756014","Small City",461,NA,c(248189.5313, 5152055)
"668",2396440,"Round Lake","City","Nobles County","2710556086","Small City",398,NA,c(300601.7188, 4823805.5)
"669",2396444,"Royalton","City","Morrison County","2709756176","Small City",1230,NA,c(399548.4375, 5075973)
"670",665486,"Rush City","City","Chisago County","2702556266","Small City",3068,NA,c(502703.625, 5059112.5)
"671",2396449,"Rushford","City","Fillmore County","2704556284","Small City",1916,NA,c(600316.4375, 4851340.5)
"672",2396450,"Rushford Village","City","Fillmore County","2704556302","Small City",946,NA,c(597213.625, 4851110.5)
"673",2396451,"Rushmore","City","Nobles County","2710556338","Small City",288,NA,c(274055.5313, 4833417)
"674",2396455,"Russell","City","Lyon County","2708356428","Small City",404,NA,c(264644.5, 4911560.5)
"675",2396459,"Ruthton","City","Pipestone County","2711756482","Small City",258,NA,c(251906.7188, 4896180.5)
"676",2396462,"Rutledge","City","Pine County","2711556518","Small City",194,NA,c(510232.375, 5123438)
"677",2396464,"Sabin","City","Clay County","2702756554","Small City",582,NA,c(221167.5781, 5187167)
"678",2396467,"Sacred Heart","City","Renville County","2712956572","Small City",613,NA,c(313988.5, 4961972)
"679",2396474,"St. Augusta","City","Stearns County","2714556724","Small City",3486,NA,c(409816.2188, 5036767.5)
"680",2396475,"St. Bonifacius","City","Hennepin County","2705356770","Small City",2472,NA,c(440999.9033, 4972679.0249)
"681",2396477,"St. Charles","City","Winona County","2716956788","Small City",3710,NA,c(575067.9375, 4868904.5)
"682",2396480,"St. Clair","City","Blue Earth County","2701356824","Small City",896,NA,c(431349.1079, 4881335.4276)
"683",2396483,"St. Cloud","City","Stearns County","2714556896","Big City",66298,NA,c(409297.4063, 5045911.5)
"684",2396487,"St. Francis","City","Anoka County","2700356950","Small City",7340,NA,c(471883.0938, 5025998.5)
"685",2396492,"St. Hilaire","City","Pennington County","2711357022","Small City",283,NA,c(260294.7031, 5322844.5)
"686",2396493,"St. James","City","Watonwan County","2716557040","County Seat",4508,NA,c(369544.1875, 4871215.5)
"687",2396497,"St. Joseph","City","Stearns County","2714557130","Small City",6749,NA,c(397142.9063, 5046562.5)
"688",2396499,"St. Leo","City","Yellow Medicine County","2717357202","Small City",91,NA,c(258278.9375, 4956070)
"689",2396500,"St. Louis Park","City","Hennepin County","2705357220","Small City",47043,NA,c(472565, 4977269.5)
"690",2396502,"St. Martin","City","Stearns County","2714557238","Small City",364,NA,c(369641.625, 5040066)
"691",2396508,"St. Marys Point","City","Washington County","2716357292","Small City",351,NA,c(518504.9375, 4973472.5)
"692",2396509,"St. Michael","City","Wright County","2717157346","Small City",16911,NA,c(447801.625, 5006494)
"693",2396511,"St. Paul","City","Ramsey County","2712358000","Big City",295043,NA,c(491945.8582, 4977652.5435)
"694",2396516,"St. Paul Park","City","Washington County","2716358018","Small City",5341,NA,c(500702.5938, 4965423.5)
"695",2396517,"St. Peter","City","Nicollet County","2710358036","County Seat",11492,NA,c(423629.3438, 4908262.5)
"696",2396520,"St. Rosa","City","Stearns County","2714558072","Small City",74,NA,c(366517.375, 5065543)
"697",2396521,"St. Stephen","City","Stearns County","2714558090","Small City",953,NA,c(400811.3125, 5061814.5)
"698",2396522,"St. Vincent","City","Kittson County","2706958144","Small City",35,NA,c(190832.625, 5432479.5)
"699",2396531,"Sanborn","City","Redwood County","2712758306","Small City",337,NA,c(329964.0938, 4897369)
"700",2396533,"Sandstone","City","Pine County","2711558396","Small City",2780,NA,c(510257.1563, 5108623.5)
"701",2396537,"Sargeant","City","Mower County","2709958576","Small City",60,NA,c(515931.125, 4850265)
"702",2396539,"Sartell","City","Stearns County","2714558612","Small City",16274,NA,c(405930.125, 5052722)
"703",2396541,"Sauk Centre","City","Stearns County","2714558648","Small City",4331,NA,c(348122.5625, 5066736)
"704",2396542,"Sauk Rapids","City","Benton County","2700958684","Small City",13196,NA,c(409065.9063, 5049372)
"705",2396543,"Savage","City","Scott County","2713958738","Small City",28713,NA,c(473407.8438, 4958474.5)
"706",2396548,"Scandia","City","Washington County","2716358900","Small City",3995,NA,c(515257.0938, 5011142.5)
"707",2396550,"Scanlon","City","Carlton County","2701758936","Small City",1209,NA,c(543719.4375, 5172727)
"708",2396564,"Seaforth","City","Redwood County","2712759098","Small City",89,NA,c(315006.5, 4927510.5)
"709",2396566,"Sebeka","City","Wadena County","2715959152","Small City",688,NA,c(340121.3438, 5166167.5)
"710",2396568,"Sedan","City","Pope County","2712159188","Small City",42,NA,c(324624.0313, 5049348.5)
"711",2395853,"Shafer","City","Chisago County","2702559314","Small City",991,NA,c(519766.4688, 5025967)
"712",2395854,"Shakopee","City","Scott County","2713959350","County Seat",39137,NA,c(458344.7813, 4960652.5)
"713",2395871,"Shelly","City","Norman County","2710759566","Small City",199,NA,c(212237.9844, 5263138)
"714",2395873,"Sherburn","City","Martin County","2709159620","Small City",1027,NA,c(360758.6875, 4834695.5)
"715",2395875,"Shevlin","City","Clearwater County","2702959782","Small City",177,NA,c(330019.0625, 5266566.5)
"716",2395876,"Shoreview","City","Ramsey County","2712359998","Small City",25951,NA,c(488434.8438, 4991755.5)
"717",2395877,"Shorewood","City","Hennepin County","2705360016","Small City",7509,NA,c(453506.4688, 4972102.5)
"718",2395886,"Silver Bay","City","Lake County","2707560250","Small City",1745,NA,c(631764.625, 5239358)
"719",2395888,"Silver Lake","City","McLeod County","2708560376","Small City",964,NA,c(405635.3438, 4972906.5)
"720",2395894,"Skyline","City","Blue Earth County","2701360754","Small City",340,NA,c(417573.25, 4888185.5)
"721",2395897,"Slayton","City","Murray County","2710160808","County Seat",2070,NA,c(279026.9688, 4874207.5)
"722",2395898,"Sleepy Eye","City","Brown County","2701560844","Small City",3498,NA,c(362479.9375, 4906330.5)
"723",2395905,"Sobieski","City","Morrison County","2709761006","Small City",185,NA,c(386881.4688, 5086687)
"724",2395910,"Solway","City","Beltrami County","2700761114","Small City",115,NA,c(339730.0938, 5265149)
"725",2395915,"South Haven","City","Wright County","2717161402","Small City",236,NA,c(404989.0625, 5016158.5)
"726",2395918,"South Saint Paul","City","Dakota County","2703761492","Small City",20413,NA,c(497258.4375, 4971040.5)
"727",2395925,"Spicer","City","Kandiyohi County","2706761690","Small City",1294,NA,c(347741.625, 5010671)
"728",2395931,"Spring Grove","City","Houston County","2705561852","Small City",1241,NA,c(610174.625, 4824032)
"729",2395932,"Spring Hill","City","Stearns County","2714561888","Small City",50,NA,c(357155.75, 5042870)
"730",2395934,"Spring Lake Park","City","Anoka County","2700361996","Small City",6504,NA,c(481294.4688, 4994951)
"731",2395935,"Spring Park","City","Hennepin County","2705362014","Small City",1731,NA,c(450137.4063, 4975955)
"732",2395937,"Spring Valley","City","Fillmore County","2704562104","Small City",2555,NA,c(549252.125, 4837284.5)
"733",2395941,"Springfield","City","Brown County","2701561816","Small City",2039,NA,c(342247.25, 4900304)
"734",2395945,"Squaw Lake","City","Itasca County","2706162284","Small City",111,NA,c(414651.6875, 5276080.5)
"735",2395946,"Stacy","City","Chisago County","2702562320","Small City",1517,NA,c(501000.25, 5027171.5)
"736",2395955,"Staples","City","Todd County","2715362446","Small City",2848,NA,c(362138.4375, 5135114)
"737",2395956,"Starbuck","City","Pope County","2712162500","Small City",1197,NA,c(302676.5938, 5054326)
"738",2395963,"Steen","City","Rock County","2713362662","Small City",226,NA,c(236259.6068, 4823096.3759)
"739",2395964,"Stephen","City","Marshall County","2708962698","Small City",788,NA,c(213696.7969, 5373563.5)
"740",2395966,"Stewart","City","McLeod County","2708562788","Small City",518,NA,c(382355.7188, 4953444.5)
"741",2395968,"Stewartville","City","Olmsted County","2710962806","Small City",6006,NA,c(541122.125, 4855957.5)
"742",2395969,"Stillwater","City","Washington County","2716362824","County Seat",18677,NA,c(513989.3823, 4988994.7714)
"743",2395971,"Stockton","City","Winona County","2716962896","Small City",690,NA,c(598590.6059, 4875634.5684)
"744",2395975,"Storden","City","Cottonwood County","2703363022","Small City",248,NA,c(314182.3125, 4878807)
"745",2395982,"Strandquist","City","Marshall County","2708963112","Small City",90,NA,c(245338.0469, 5376535)
"746",2395985,"Strathcona","City","Roseau County","2713563130","Small City",30,NA,c(266191.7813, 5382714)
"747",2395993,"Sturgeon Lake","City","Pine County","2711563220","Small City",441,NA,c(513564.2188, 5136408)
"748",2396005,"Sunburg","City","Kandiyohi County","2706763454","Small City",82,NA,c(324677.4688, 5024022)
"749",2396006,"Sunfish Lake","City","Dakota County","2703763544","Small City",518,NA,c(492232.6875, 4968606)
"750",2396014,"Swanville","City","Morrison County","2709763778","Small City",328,NA,c(372548.1875, 5085392)
"751",2396025,"Taconite","City","Itasca County","2706164048","Small City",634,NA,c(471132.6875, 5239994)
"752",2396028,"Tamarack","City","Aitkin County","2700164156","Small City",54,NA,c(490285.4688, 5165661)
"753",2396030,"Taopi","City","Mower County","2709964210","Small City",54,NA,c(528874.125, 4822851.5)
"754",2396033,"Taunton","City","Lyon County","2708364264","Small City",161,NA,c(256683.3438, 4942379.5)
"755",2396034,"Taylors Falls","City","Chisago County","2702564318","Small City",1019,NA,c(527218.0625, 5027661)
"756",2396041,"Tenstrike","City","Beltrami County","2700764444","Small City",187,NA,c(374269.4375, 5279500)
"757",2396049,"Thief River Falls","City","Pennington County","2711364570","County Seat",8711,NA,c(263284.4688, 5334440)
"758",2397026,"Tintah","City","Traverse County","2715564948","Small City",49,NA,c(242802.7969, 5100495)
"759",2397036,"Tonka Bay","City","Hennepin County","2705365164","Small City",1481,NA,c(453205.6563, 4972969)
"760",2397042,"Tower","City","Saint Louis County","2713765272","Small City",620,NA,c(554326.4375, 5294944)
"761",2397044,"Tracy","City","Lyon County","2708365308","Small City",2110,NA,c(290855.375, 4901124.5)
"762",2397047,"Trail","City","Polk County","2711965344","Small City",69,NA,c(298348.2188, 5295358)
"763",2397054,"Trimont","City","Martin County","2709165470","Small City",755,NA,c(362601.3125, 4846879.5)
"764",2397057,"Trommald","City","Crow Wing County","2703565506","Small City",92,NA,c(421890.0938, 5150693.5)
"765",2397058,"Trosky","City","Pipestone County","2711765542","Small City",102,NA,c(238408.1875, 4864720)
"766",2397066,"Truman","City","Martin County","2709165668","Small City",1145,NA,c(384475.3178, 4853745.1618)
"767",2397070,"Turtle River","City","Beltrami County","2700765794","Small City",107,NA,c(368317.9375, 5271940.5)
"768",2397072,"Twin Lakes","City","Freeborn County","2704765920","Small City",176,NA,c(465854.3125, 4823060.5)
"769",2397073,"Twin Valley","City","Norman County","2710765938","Small City",752,NA,c(253478.2969, 5239240)
"770",2397074,"Two Harbors","City","Lake County","2707565956","County Seat",3643,NA,c(601027.875, 5208553)
"771",2397075,"Tyler","City","Lincoln County","2708166046","Small City",1244,NA,c(249873.5156, 4907566)
"772",2397080,"Ulen","City","Clay County","2702766136","Small City",550,NA,c(252628.2915, 5219079.3221)
"773",2397082,"Underwood","City","Otter Tail County","2711166172","Small City",384,NA,c(278875.0313, 5129750)
"774",2397095,"Upsala","City","Morrison County","2709766334","Small City",480,NA,c(377878.9431, 5073624.5592)
"775",2397101,"Urbank","City","Otter Tail County","2711166388","Small City",68,NA,c(305948.5625, 5110756)
"776",2397104,"Utica","City","Winona County","2716966424","Small City",308,NA,c(583838.9375, 4869689.5)
"777",2397106,"Vadnais Heights","City","Ramsey County","2712366460","Small City",12968,NA,c(494204.2188, 4989340.5)
"778",2397125,"Vergas","City","Otter Tail County","2711166766","Small City",308,NA,c(285390.9375, 5170834)
"779",2397127,"Vermillion","City","Dakota County","2703766802","Small City",471,NA,c(502620.375, 4946694)
"780",2397129,"Verndale","City","Wadena County","2715966874","Small City",733,NA,c(345141.875, 5140278)
"781",2397130,"Vernon Center","City","Blue Earth County","2701366910","Small City",338,NA,c(406225.1563, 4868309.5)
"782",2397132,"Vesta","City","Redwood County","2712766982","Small City",322,NA,c(307949.1875, 4931113)
"783",2397135,"Victoria","City","Carver County","2701967036","Small City",8103,NA,c(447744.3125, 4967456.5)
"784",2397139,"Viking","City","Marshall County","2708967090","Small City",130,NA,c(247052.2344, 5346207)
"785",2397141,"Villard","City","Pope County","2712167144","Small City",216,NA,c(323417.625, 5064948.5)
"786",2397145,"Vining","City","Otter Tail County","2711167216","Small City",41,NA,c(304515.4375, 5126403.5)
"787",2397153,"Virginia","City","Saint Louis County","2713767288","Small City",8658,NA,c(534900.5625, 5263426.5)
"788",2397156,"Wabasha","City","Wabasha County","2715767378","County Seat",2659,NA,c(577044.3125, 4914967)
"789",2397157,"Wabasso","City","Redwood County","2712767396","Small City",636,NA,c(320386.7188, 4918991.5)
"790",2397159,"Waconia","City","Carver County","2701967432","Small City",11494,NA,c(437837.6875, 4966680.5)
"791",2397160,"Wadena","City","Wadena County","2715967504","County Seat",4056,NA,c(335942.9063, 5145430.5)
"792",2397163,"Wahkon","City","Mille Lacs County","2709567558","Small City",205,NA,c(459757, 5107326.5)
"793",2397165,"Waite Park","City","Stearns County","2714567612","Small City",7429,NA,c(404478.4063, 5045582)
"794",2397171,"Waldorf","City","Waseca County","2716167756","Small City",192,NA,c(444039.9688, 4864889.5)
"795",2397174,"Walker","City","Cass County","2702167792","County Seat",1036,NA,c(379581.5, 5217653)
"796",2397182,"Walnut Grove","City","Redwood County","2712767846","Small City",821,NA,c(302777.9063, 4899613)
"797",2397184,"Walters","City","Faribault County","2704367900","Small City",121,NA,c(445682, 4828315)
"798",2397185,"Waltham","City","Mower County","2709967918","Small City",167,NA,c(509895.7188, 4852074)
"799",2397189,"Wanamingo","City","Goodhue County","2704967972","Small City",1179,NA,c(516727.9063, 4905708.5)
"800",2397190,"Wanda","City","Redwood County","2712768008","Small City",59,NA,c(323647.5313, 4909392.5)
"801",2397193,"Warba","City","Itasca County","2706168080","Small City",108,NA,c(479796.3125, 5219522)
"802",2397194,"Warren","City","Marshall County","2708968170","County Seat",1576,NA,c(219682.1406, 5345043.5)
